,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
192807,3.52,-0.22,-99.99,0.75,2.17,14.83,-4.4,2.37,-1.78,-1.2,-99.99,-1.14,-0.65,2.56,-99.99,-1.41,-2.18,-1.8,-0.14,-99.99,-0.43,-2.15,1.76,4.8,-4.78,-99.99,-99.99,-1.09,-0.74,2.25,-1.09,-0.08,-4.15,-0.42,3.81,-99.99,4.43,5.04,-99.99,2.35,-1.01,-4.59,4.97,-0.26,0.63,0.29,1.44,-0.5,0.14
192808,-0.18,6.91,-99.99,14.36,7.15,1.09,17.18,-0.29,7.25,0.67,-99.99,8.38,9.88,6.92,-99.99,-1.23,4.13,-5.58,10.89,-99.99,2.99,10.78,13.93,15.25,3.97,-99.99,-99.99,4.34,-4.9,2.11,5.72,2.33,-9.73,3.74,1.92,-99.99,-16.92,1.08,-99.99,-0.27,3.28,6.32,7.98,9.76,8.46,5.19,2.81,4,7.63
192809,3.08,2.55,-99.99,-1.78,0.88,12.03,7.65,0.7,7.77,0.63,-99.99,7.04,-3.61,5.85,-99.99,8.76,6.16,1.6,10.06,-99.99,8.56,4.5,8.55,8.68,5.56,-99.99,-99.99,5.96,2.93,8.44,4.94,0.5,2.94,1.57,3.85,-99.99,-2.25,-3.58,-99.99,4.66,1.7,4.31,3.21,2.94,6.5,-2.58,-0.75,5.33,-3.95
192810,1.67,-0.26,-99.99,2.08,8.22,-13.69,2.55,3.43,2.1,-0.91,-99.99,-1.18,0.96,-0.98,-99.99,13.42,2.67,0.54,6.04,-99.99,-0.11,0.65,0.83,-6.22,-5.36,-99.99,-99.99,6.48,-4.22,3.56,-2.22,7.54,-6.67,5.04,3.04,-99.99,6.71,0.98,-99.99,-5.11,-2.99,9.46,4.98,-1.36,9.32,2.6,0.87,2.01,-4.07
192811,19.85,10.36,-99.99,6.56,5.31,10.64,20.34,3.58,17.18,3.8,-99.99,2.32,4.1,11.67,-99.99,9.53,8.91,7.94,16.23,-99.99,13.71,16.69,12.75,41.16,9.36,-99.99,-99.99,10.29,13.55,14.81,18.29,8.89,-3.57,9.09,11.78,-99.99,8.61,4.44,-99.99,3.31,9.64,23.64,9.18,9.37,14.29,6.76,3.83,13.27,2.23
192812,-5.18,-1.26,-99.99,-5.54,5.41,-11.03,-1.65,-0.52,-4.38,-2.71,-99.99,-1.97,0.27,3.02,-99.99,-4.04,-1.51,7.14,1.91,-99.99,6.93,2.74,4.6,-0.43,-0.36,-99.99,-99.99,-0.54,-0.58,-8.36,2.32,-2.12,-9.78,-3.85,12.02,-99.99,-5.06,-1.61,-99.99,-1.53,-1.63,-2.79,0.76,-2.3,5.89,-1.46,1.63,-6.12,1.82
192901,12.7,2.53,-99.99,6.04,1.44,19.11,3.16,1.02,-0.05,-1.63,-99.99,4.3,4.82,11.47,-99.99,3.27,7.5,-4.18,5.85,-99.99,4.59,7.85,2.87,2.49,3.66,-99.99,-99.99,3.55,-1.16,-7.27,15.63,7.86,-12.65,3.65,6.04,-99.99,10.49,0.55,-99.99,6.57,5.32,-2.95,-2.06,-1.24,13.18,3.1,17.06,9.97,1.58
192902,8.64,-3.26,-99.99,-2.48,-1.72,-13.8,4.36,-5.28,-1.47,-3.74,-99.99,1.72,-1.26,-0.51,-99.99,5.77,-2.29,12.81,7.73,-99.99,7.12,7.96,-0.65,2.06,-2.46,-99.99,-99.99,6.8,8.26,-0.42,-1.52,-1.51,7.59,-0.06,1.76,-99.99,0.65,1.56,-99.99,-1.42,-1.33,-5.47,-0.45,1.12,2.09,-4.94,5.2,11.2,-3.23
192903,-13.17,-5.43,-99.99,-1.28,-3.97,-17.11,-12.6,-7.31,-5.69,-6.93,-99.99,-0.14,-0.74,-3.49,-99.99,-6.37,-4.67,1.88,-1.87,-99.99,-5.87,9.63,-6.34,-6.63,7.88,-99.99,-99.99,-5.06,-12.97,8.69,-2.13,10.14,-12.82,-4.31,1.55,-99.99,-5.78,-3.18,-99.99,-5.39,-4.31,-12.66,-5.33,-4.08,-2.32,-5.13,-3.22,3.59,-5.25
192904,-6.01,3.35,-99.99,10,-3.3,-8.97,0.57,1.6,-0.1,3.96,-99.99,2.21,2.56,5.26,-99.99,5.28,4.43,19.3,-0.48,-99.99,3.03,3.75,-3.07,8.42,-1.11,-99.99,-99.99,-6.21,-2.39,2,4.06,-2.6,-2.94,19.43,9.67,-99.99,2.05,0.42,-99.99,0.21,1.6,3.52,-0.8,9.73,0.58,0.87,3.8,2.56,-5.28
192905,-2.87,-7.85,-99.99,-13.9,-6.15,-24.88,-7.52,4.22,-11.19,-7.7,-99.99,-10.5,-4.53,-7.11,-99.99,-12.86,-12.34,-15,-14.42,-99.99,-11.83,-4.19,-16.2,-12.99,-11.93,-99.99,-99.99,-16.27,-8.81,-8.21,2.77,-7.24,-12.88,-11.04,-3.63,-99.99,-7.29,-3.48,-99.99,-15.35,-3.45,-5.28,-9.91,-4.02,-5.98,-4.03,-6.39,-8.84,-7.24
192906,4.31,6.13,-99.99,11.61,-0.05,0.87,3.47,6.91,14.25,7.35,-99.99,9.15,1.79,17.27,-99.99,-0.1,5.58,2.42,11.37,-99.99,13.62,13.35,7.6,13.64,8.06,-99.99,-99.99,6.73,2.71,3.06,22.76,6.37,21.74,8.07,19.94,-99.99,4.29,5.83,-99.99,18.47,4.33,-1.88,6.68,17.46,13.17,-1.12,11.53,12.01,-0.66
192907,6.27,6.03,-99.99,1.87,0.7,-11,-5.02,-0.4,2.77,-7.82,-99.99,-0.13,6.34,1.19,-99.99,-4.98,1,-3.7,3.37,-99.99,3.35,5.99,-4.62,5.26,2.28,-99.99,-99.99,-3.16,10.8,-0.58,7.56,10.42,28.57,6.58,12.82,-99.99,-2.91,6.82,-8.51,4.95,4.28,-3.44,1.16,-0.48,-2.03,7.71,5.71,9,2.95
192908,-0.65,-1.09,-99.99,3.66,0.72,-1.59,8.57,2.58,-0.14,3.59,-99.99,-1.43,0.34,6.7,-99.99,-2.5,1.77,-5.01,5.16,-99.99,4.6,6.71,-3.41,-1.31,-2.1,-99.99,-99.99,8,-0.66,4.17,10.33,5.06,-10.56,-4.31,4.81,-99.99,8.33,15.12,10.7,3.28,2.76,7.84,3.85,4.56,5.74,10.92,3.47,0.22,-0.94
192909,1.21,-2.08,-99.99,-5.58,-8.43,5.36,-3.85,-3.44,-2.92,-3.22,-99.99,-3.56,-8,1.15,-99.99,-5.08,-4.98,-4.48,-5.85,-99.99,-3.18,-4.43,-12.21,-19.91,-5.64,-99.99,-99.99,-7.43,2.58,-5.32,2.5,-2.88,-2.48,10.37,7.42,-99.99,-11.51,3.03,-7.56,-4.81,-4.9,-0.39,-3.92,-2.75,-3.08,-9.64,-8.85,-1.37,-4.57
192910,-9.68,-17.23,-99.99,-24.49,-15.55,-1.94,-20.13,-7.26,-20.54,-17.08,-99.99,-14.71,-19.47,-25.92,-99.99,-18.87,-21.48,-21.4,-21.53,-99.99,-24.39,-31.45,-30.63,-37.88,-17.2,-99.99,-99.99,-14.47,-7,-18.56,-30.36,-11.92,-28.66,-15.64,-23.71,-99.99,-11.63,-5.66,-18.18,-16.65,-13.28,-15.17,-24.74,-14.45,-26.57,-21.48,-5.85,-21.74,-23.13
192911,-11.09,-13.65,-99.99,-13.71,-7.3,-33.76,-22.33,-5.23,-13.63,-10.29,-99.99,-10.96,1.61,-11.63,-99.99,-19.03,-9.31,-12.67,-15.72,-99.99,-11.46,-21.2,-15.79,-25.56,-2.34,-99.99,-99.99,-8.42,-18.58,-7.04,-12.47,-8.86,-39.29,-13.27,-24.9,-99.99,-9.89,-15.11,-15.56,-10.06,-9.69,-12.6,-13.72,-6.17,-21.53,-18.38,-2.61,-11.04,-8.97
192912,-1.36,-3.19,-99.99,2.67,-10.61,-25.99,-11.92,-4.64,-5.75,-2.16,-99.99,4.23,3.8,2.01,-99.99,-10.49,-5.99,-0.66,0.94,-99.99,-3.79,3.66,-2.33,7.61,-8.32,-99.99,-99.99,-4.09,-13.92,-3.85,8.98,2.52,0,-7.75,5.34,-99.99,6.22,1.43,-3.95,-8.8,2.47,-0.87,-9.15,2.4,1.3,-4.8,-5.21,-7.17,-4.12
193001,1.27,7.05,-99.99,1.96,21.31,-9.66,30.02,1.7,17.9,5.2,-99.99,2.82,1.95,9.34,-99.99,16.05,14.85,6.99,13.25,-99.99,17.06,7.84,15.2,1.78,14.3,-99.99,-99.99,11.28,13.23,2.29,5.52,3.66,26.47,-0.58,13.75,-99.99,13.96,9.15,50,14.9,8.96,1.15,9.76,9.07,22.96,15.29,3.3,6.89,39.47
193002,5.12,2.41,-99.99,-0.81,3.15,14.86,11.82,10.42,0.48,-0.95,-99.99,9.38,1.61,8.86,-99.99,9.1,5.39,0.57,1.42,-99.99,3.95,7.99,6.39,19.1,7.03,-99.99,-99.99,2.62,0.05,-3.96,9.11,5.48,-25.58,13.68,6.67,-99.99,1.29,12.65,-7.76,8.99,1.98,1.59,-1.91,2.74,11.81,3.94,-1.72,8.15,-3.7
193003,7.02,8.11,-99.99,-0.05,3.13,104.1,19.33,3.99,7.38,14.62,-99.99,5.79,8.94,9.68,-99.99,4.49,10.75,22.9,7.75,-99.99,13.71,14.4,15.99,20.68,9.05,-99.99,-99.99,4.98,7,29.5,10.6,3.85,-1.56,-0.11,3.31,-99.99,9.06,9.25,7.67,5.84,6.78,0.3,2.4,4.49,6.97,9.48,4.95,10.22,4.16
193004,-9.62,-3.23,-99.99,-10.37,-8.41,-30.95,27.31,-1.57,-6.78,1.87,-99.99,-9.06,0.51,-10.34,-99.99,-11.12,-6.73,-0.22,-12.2,-99.99,-1.49,-1.3,-11.92,-4.33,-13.42,-99.99,-99.99,-13.68,-3.75,3.08,1.34,0.53,33.33,4.41,-5.57,-99.99,7.2,5.4,-21.61,-1.02,-8.23,-5.47,2.74,1.9,-10.31,-9.62,-3.65,-7.56,2.52
193005,-0.39,-1.81,-99.99,-0.51,0.35,-27.03,-8.65,-7.69,-8.13,-6.75,-99.99,-6.95,1.62,0.35,-99.99,-3.9,-7.88,-2.48,-1.9,-99.99,-5.33,-4.66,-3.76,-7.63,-6.68,-99.99,-99.99,-2.51,-6.67,-5.68,-1.91,-2.33,-15.48,-5.67,-2.43,-99.99,-33.36,-2.81,-21.11,-2.07,-2.58,-8.05,-2.25,-1.19,-7.15,-2.53,-1.69,-5.78,-4.67
193006,-15.03,-14.29,-99.99,-31.92,-13.64,-18.32,-21.71,-12.78,-29.37,-12.67,-99.99,-15.58,-12.44,-17.57,-99.99,-16.78,-18.41,-21.91,-18.84,-99.99,-20.67,-24.41,-26.75,-23.12,-17.03,-99.99,-99.99,-15.06,-12.36,-19.07,-17.75,-10.33,-32.39,-14.27,-20.32,-99.99,-40.88,-15.94,-62.08,-15.48,-15.71,-29.68,-17.29,-11.29,-18.85,-15.39,-10.54,-20.64,-18.24
193007,-5.6,0.59,-99.99,5.15,0.59,13.47,6.62,4.78,5.55,4.46,-99.99,12.21,6.8,4.36,14.16,3.38,7.81,3.37,4.59,-99.99,5.08,6.5,8.28,4.14,1.7,-99.99,-99.99,3.79,-3.55,4.04,3.95,4.88,10.42,5.4,4.4,-99.99,9.5,3.47,9.8,3.93,0.98,-5.05,1.45,1.27,4.97,6.67,-1.38,5.33,7.17
193008,-10,0.5,-99.99,5.56,1.2,4.13,2.2,-4.47,-6.64,-6.41,-99.99,-3.99,4.57,0.75,-4.06,-0.28,-2.17,-0.5,-5.01,-99.99,-1.82,-0.83,-6.59,0.2,2.44,-99.99,-99.99,-4.88,1.74,-6.34,1.17,1.49,-5.66,-4.68,2.71,-99.99,0.65,6.23,3.57,-1.7,-1.59,2.69,0.37,2.31,-0.5,-1.22,-6.81,0.47,3.03
193009,-17.11,-13.01,-99.99,-11.72,-11.88,-10.87,-22.94,-6.3,-15.59,-11.38,-99.99,-6.41,-5.3,-20.19,-28.8,-15.38,-16.37,-18.94,-14.22,-99.99,-18.58,-25.77,-19.32,-25.28,-16.14,-99.99,-99.99,-13.79,-6.27,-20.42,-11.88,-5.65,4,-11.84,-10.05,-99.99,-21.69,-11.15,-27.59,-12.44,-13.63,-16.55,-9.9,-11.11,-10.26,-12.25,-14.09,-17.53,-12.79
193010,8,-0.93,-99.99,-7.05,-7.63,-4.32,-10.59,-2.52,-9.6,-8.39,-99.99,-6.84,-4.18,-9.58,-10.11,-3.41,-11.45,-16.82,-10.14,-99.99,-15.02,-16.6,-14.64,-14.52,-4.74,-99.99,-99.99,-2.89,-13.32,-12.82,-9.69,-3.02,-13.46,-4.78,-11.93,-99.99,-15.86,-12.04,-13.1,-6.2,-9.59,-6.13,-13.05,-7.55,-5.07,-10.72,-13.94,-14.97,-13.82
193011,3.56,0.51,-99.99,-3.84,1.18,-9.74,-2.39,-3.23,1,-0.85,-99.99,-2.83,-2.56,-5.57,10.75,-7.1,-1.75,-8.98,-0.81,-99.99,-2.87,-1.63,5.77,-5.21,0.51,-99.99,-99.99,2.88,-7.49,-6.32,-6.29,-2.39,7.78,-1.98,-3.51,-99.99,5.47,-1.6,-15.07,-5.12,-5.61,-6.46,-1.08,-2.25,-7.52,-6.04,-6.47,-6.96,-1.65
193012,-26.96,-12.62,-99.99,-20.55,-9.26,-6.17,-21.39,5.85,-15.71,-16.36,-99.99,-7.69,-11.08,-13.45,-16.28,-11.24,-11.28,-20.37,-13.28,-99.99,-16.13,-17,-11.94,-21.45,-16.91,-99.99,-99.99,-10.68,-20.33,-19.13,-4.63,-2.54,-13.4,-7.46,-5.55,-99.99,-6.98,-11.98,-24.19,-16.17,-13.46,-14.19,-17.52,-7.33,3.17,-15.48,-13.57,-18.15,-10.9
193101,28.12,16.25,-99.99,21.82,13.34,1.25,16.44,-2.17,16.88,10.65,-99.99,13.33,4.43,10.72,16.67,22.39,8.95,34.63,10.43,-99.99,13.35,19.73,11.44,28.37,15.36,-99.99,-99.99,12.19,28.56,15.24,5.21,4.39,45.24,14.11,6.18,-99.99,11.15,5.61,34.04,10.56,18.58,14.4,9.4,5.14,0.84,19.18,6.11,27.58,15.65
193102,17.65,6.21,-99.99,18.68,11.93,10.08,14.98,8.18,17.17,19.85,-99.99,12.22,18.84,15.29,23.33,27.61,13.56,22.73,22.14,-99.99,16.24,29.5,24.2,26.6,8.15,-99.99,-99.99,17.04,14.65,14.29,15.43,6.01,31.15,0.99,13.23,-99.99,17.21,14.01,74.6,7.41,6.01,6.36,18.97,10.66,16.71,11.14,22.93,19.31,15.9
193103,-1.59,-0.34,-99.99,-11.95,-4.01,-9.18,-8.1,-5.91,-10.21,10.18,-99.99,-3.99,3.74,-12.32,9.41,-3.54,-4.65,-4.92,-10.21,-99.99,-8.29,-13.2,-5.6,-5.31,-8.03,-99.99,-99.99,-2.14,-6.66,-14.46,-4.48,-1,72.5,-6.06,-11.57,-99.99,-5.63,-6.92,-16.36,-3.43,-10.36,5.13,-2.9,-5.22,-11.6,0.06,-13.91,-11.87,21.08
193104,-20.34,-15.53,-99.99,-21.2,-0.95,-14.78,-24.75,-6.35,-12.68,-20.74,-99.99,-13.75,-9.87,-16.46,-20.36,-14.93,-16.99,-24.99,-18.52,-99.99,-21.13,-16.68,-19.76,-10.46,-21.48,-99.99,-99.99,-12.67,-17.24,-17.78,-9.96,-7.46,-17.39,-11.41,-14.31,-99.99,-19.75,-4.45,-25,-17.72,-11.8,-7.93,-10.13,-12.14,-11.49,-10.92,-12.42,-18.35,-14.31
193105,2.11,-12.63,-99.99,-5.35,-12.61,-1.42,-25.86,-10.71,-15.8,-5.66,-99.99,-21.4,-12.25,-11.98,-8.98,-5.9,-17.99,0.9,-19.94,-99.99,-15.34,-10.25,-16.64,-13.46,-13.34,-99.99,-99.99,-11.53,-14.69,-18.15,-11.67,-8.23,-15.79,-22.47,-15.28,-99.99,-12.93,-16.56,-21.74,-10.75,-15.89,-19.11,-8.98,-2.88,-5.83,-19.7,-22.69,-18.08,-7.9
193106,11.55,20.99,-99.99,10.66,12.7,6.88,25.02,2.03,11.34,12.35,-99.99,14.42,10.77,20.42,12.26,10.41,21.69,10.81,26.12,-99.99,15.84,15.86,21.89,27.33,21.15,-99.99,-99.99,15.93,2.71,26.26,10.11,10.64,29.17,34.44,24.7,-99.99,9.9,15.61,11.11,20.14,22.72,7.64,7.41,1.06,19.09,16.08,12.98,27.36,9.91
